
========================================================================================================================
All Models Sorted by Price (Input + Output)
========================================================================================================================
Provider                   | Name                                                 |   Input |  Write |   Read |     Out | Model                                               
---------------------------+------------------------------------------------------+---------+--------+--------+---------+-----------------------------------------------------
Anthropic                  | Claude Sonnet 4.5                                    |         |        |        |         | claude-sonnet-4-5                                   
OpenRouter                 | MAI DS R1 (free)                                     |         |        |        |         | mai-ds-r1:free                                      
OpenRouter                 | Phi 4 Reasoning Plus (free)                          |         |        |        |         | phi-4-reasoning-plus:free                           
OpenRouter                 | Phi 4 Reasoning (free)                               |         |        |        |         | phi-4-reasoning:free                                
OpenRouter                 | DeepSeek Chat                                        |         |        |        |         | deepseek-chat                                       
Deepseek                   | Deepseek R1                                          |         |        |        |         | deepseek-reasoner                                   
Google                     | gemini 1.5 flash                                     |         |        |        |         | gemini-1.5-flash                                    
Google                     | gemini 1.5 Pro                                       |         |        |        |         | gemini-1.5-pro                                      
OpenRouter                 | Gemini 2.5 Pro                                       |         |        |        |         | gemini-2.5-pro                                      
Google                     | Gemini 3 Pro Preview                                 |         |        |        |         | gemini-3-pro-preview                                
OpenRouter                 | Gemini 1.5 Flash                                     |         |        |        |         | gemini-flash-1.5                                    
OpenRouter                 | gemini 1.5 flash                                     |         |        |        |         | gemini-flash-1.5-8b                                 
OpenRouter                 | Gemini 1.5 Pro                                       |         |        |        |         | gemini-pro-1.5                                      
Google                     | Gemma 3 (free)                                       |         |        |        |         | gemma-3                                             
Google                     | Gemma 3n (free)                                      |         |        |        |         | gemma-3n                                            
HuggingFace (publicai)     | Gemma-SEA-LION-v4-27B-IT                             |         |        |        |         | aisingapore/Gemma-SEA-LION-v4-27B-IT                
HuggingFace (publicai)     | Apertus-70B-Instruct-2509                            |         |        |        |         | swiss-ai/Apertus-70B-Instruct-2509                  
HuggingFace (publicai)     | Apertus-8B-Instruct-2509                             |         |        |        |         | swiss-ai/Apertus-8B-Instruct-2509                   
OpenRouter                 | Devstral Small (free)                                |         |        |        |         | devstral-small:free                                 
OpenRouter                 | Mistral Nemo (free)                                  |         |        |        |         | mistral-nemo:free                                   
OpenRouter                 | Mistral Small 3 (free)                               |         |        |        |         | mistral-small-24b-instruct-2501:free                
OpenAI                     | moderation                                           |         |        |        |         | moderation                                          
OpenRouter                 | o3                                                   |         |        |        |         | o3                                                  
OpenRouter                 | agentica-org/deepcoder-14b-preview:free              |         |        |        |         | agentica-org/deepcoder-14b-preview:free             
OpenRouter                 | allenai/molmo-7b-d:free                              |         |        |        |         | allenai/molmo-7b-d:free                             
OpenRouter                 | arliai/qwq-32b-arliai-rpr-v1:free                    |         |        |        |         | arliai/qwq-32b-arliai-rpr-v1:free                   
OpenRouter                 | bytedance-research/ui-tars-72b:free                  |         |        |        |         | bytedance-research/ui-tars-72b:free                 
OpenRouter                 | cognitivecomputations/dolphin3.0-mistral-24b:free    |         |        |        |         | cognitivecomputations/dolphin3.0-mistral-24b:free   
OpenRouter                 | cognitivecomputations/dolphin3.0-r1-mistral-24b:free |         |        |        |         | cognitivecomputations/dolphin3.0-r1-mistral-24b:free
OpenRouter                 | Deepcoder 14B Preview (free)                         |         |        |        |         | deepcoder-14b-preview:free                          
OpenRouter                 | DeepHermes 3 Llama 3 8B Preview (free)               |         |        |        |         | deephermes-3-llama-3-8b-preview:free                
OpenRouter                 | DeepSeek V3 0324 (free)                              |         |        |        |         | deepseek-chat-v3-0324:free                          
OpenRouter                 | DeepSeek V3 (free)                                   |         |        |        |         | deepseek-chat:free                                  
OpenRouter                 | Deepseek R1 0528 Qwen3 8B (free)                     |         |        |        |         | deepseek-r1-0528-qwen3-8b:free                      
OpenRouter                 | R1 0528 (free)                                       |         |        |        |         | deepseek-r1-0528:free                               
OpenRouter                 | R1 Distill Llama 70B (free)                          |         |        |        |         | deepseek-r1-distill-llama-70b:free                  
OpenRouter                 | R1 Distill Qwen 14B (free)                           |         |        |        |         | deepseek-r1-distill-qwen-14b:free                   
OpenRouter                 | R1 Distill Qwen 32B (free)                           |         |        |        |         | deepseek-r1-distill-qwen-32b:free                   
OpenRouter                 | R1 (free)                                            |         |        |        |         | deepseek-r1:free                                    
OpenRouter                 | DeepSeek R1T Chimera (free)                          |         |        |        |         | deepseek-r1t-chimera:free                           
OpenRouter                 | DeepSeek V3 Base (free)                              |         |        |        |         | deepseek-v3-base:free                               
OpenRouter                 | deepseek/deepseek-chat-v3-0324:free                  |         |        |        |         | deepseek/deepseek-chat-v3-0324:free                 
OpenRouter                 | deepseek/deepseek-chat:free                          |         |        |        |         | deepseek/deepseek-chat:free                         
OpenRouter                 | deepseek/deepseek-r1-distill-llama-70b:free          |         |        |        |         | deepseek/deepseek-r1-distill-llama-70b:free         
OpenRouter                 | deepseek/deepseek-r1-distill-qwen-14b:free           |         |        |        |         | deepseek/deepseek-r1-distill-qwen-14b:free          
OpenRouter                 | deepseek/deepseek-r1-distill-qwen-32b:free           |         |        |        |         | deepseek/deepseek-r1-distill-qwen-32b:free          
OpenRouter                 | deepseek/deepseek-r1-zero:free                       |         |        |        |         | deepseek/deepseek-r1-zero:free                      
OpenRouter                 | deepseek/deepseek-r1:free                            |         |        |        |         | deepseek/deepseek-r1:free                           
OpenRouter                 | deepseek/deepseek-v3-base:free                       |         |        |        |         | deepseek/deepseek-v3-base:free                      
OpenRouter                 | Devstral Small (free)                                |         |        |        |         | devstral-small:free                                 
OpenRouter                 | Dolphin3.0 Mistral 24B (free)                        |         |        |        |         | dolphin3.0-mistral-24b:free                         
OpenRouter                 | Dolphin3.0 R1 Mistral 24B (free)                     |         |        |        |         | dolphin3.0-r1-mistral-24b:free                      
OpenRouter                 | featherless/qwerky-72b:free                          |         |        |        |         | featherless/qwerky-72b:free                         
OpenRouter                 | Gemini 2.0 Flash Experimental (free)                 |         |        |        |         | gemini-2.0-flash-exp:free                           
OpenRouter                 | Gemini 2.5 Pro Experimental                          |         |        |        |         | gemini-2.5-pro-exp-03-25                            
OpenRouter                 | Gemma 2 9B (free)                                    |         |        |        |         | gemma-2-9b-it:free                                  
OpenRouter                 | Gemma 3 12B (free)                                   |         |        |        |         | gemma-3-12b-it:free                                 
OpenRouter                 | Gemma 3 27B (free)                                   |         |        |        |         | gemma-3-27b-it:free                                 
OpenRouter                 | Gemma 3 4B (free)                                    |         |        |        |         | gemma-3-4b-it:free                                  
OpenRouter                 | Gemma 3n 4B (free)                                   |         |        |        |         | gemma-3n-e4b-it:free                                
OpenRouter                 | GLM 4 32B (free)                                     |         |        |        |         | glm-4-32b:free                                      
OpenRouter                 | GLM Z1 32B (free)                                    |         |        |        |         | glm-z1-32b:free                                     
OpenRouter                 | google/gemini-2.0-flash-exp:free                     |         |        |        |         | google/gemini-2.0-flash-exp:free                    
OpenRouter                 | google/gemini-2.0-flash-thinking-exp-1219:free       |         |        |        |         | google/gemini-2.0-flash-thinking-exp-1219:free      
OpenRouter                 | google/gemini-2.0-flash-thinking-exp:free            |         |        |        |         | google/gemini-2.0-flash-thinking-exp:free           
OpenRouter                 | google/gemini-2.5-pro-exp-03-25:free                 |         |        |        |         | google/gemini-2.5-pro-exp-03-25:free                
OpenRouter                 | google/gemini-flash-1.5-8b-exp                       |         |        |        |         | google/gemini-flash-1.5-8b-exp                      
OpenRouter                 | google/gemma-2-9b-it:free                            |         |        |        |         | google/gemma-2-9b-it:free                           
OpenRouter                 | google/gemma-3-12b-it:free                           |         |        |        |         | google/gemma-3-12b-it:free                          
OpenRouter                 | google/gemma-3-1b-it:free                            |         |        |        |         | google/gemma-3-1b-it:free                           
OpenRouter                 | google/gemma-3-27b-it:free                           |         |        |        |         | google/gemma-3-27b-it:free                          
OpenRouter                 | google/gemma-3-4b-it:free                            |         |        |        |         | google/gemma-3-4b-it:free                           
OpenRouter                 | google/learnlm-1.5-pro-experimental:free             |         |        |        |         | google/learnlm-1.5-pro-experimental:free            
OpenRouter                 | huggingfaceh4/zephyr-7b-beta:free                    |         |        |        |         | huggingfaceh4/zephyr-7b-beta:free                   
OpenRouter                 | InternVL3 14B (free)                                 |         |        |        |         | internvl3-14b:free                                  
OpenRouter                 | InternVL3 2B (free)                                  |         |        |        |         | internvl3-2b:free                                   
OpenRouter                 | Kimi Dev 72b (free)                                  |         |        |        |         | kimi-dev-72b:free                                   
OpenRouter                 | Kimi VL A3B Thinking (free)                          |         |        |        |         | kimi-vl-a3b-thinking:free                           
OpenRouter                 | Llama 3.1 8B Instruct (free)                         |         |        |        |         | llama-3.1-8b-instruct:free                          
OpenRouter                 | Llama 3.1 Nemotron Ultra 253B v1 (free)              |         |        |        |         | llama-3.1-nemotron-ultra-253b-v1:free               
OpenRouter                 | Llama 3.2 11B Vision Instruct (free)                 |         |        |        |         | llama-3.2-11b-vision-instruct:free                  
OpenRouter                 | Llama 3.2 1B Instruct (free)                         |         |        |        |         | llama-3.2-1b-instruct:free                          
OpenRouter                 | Llama 3.2 3B Instruct (free)                         |         |        |        |         | llama-3.2-3b-instruct:free                          
OpenRouter                 | Llama 3.3 70B Instruct (free)                        |         |        |        |         | llama-3.3-70b-instruct:free                         
OpenRouter                 | Llama 3.3 8B Instruct (free)                         |         |        |        |         | llama-3.3-8b-instruct:free                          
OpenRouter                 | Llama 3.3 Nemotron Super 49B v1 (free)               |         |        |        |         | llama-3.3-nemotron-super-49b-v1:free                
OpenRouter                 | Llama 4 Maverick (free)                              |         |        |        |         | llama-4-maverick:free                               
OpenRouter                 | Llama 4 Scout (free)                                 |         |        |        |         | llama-4-scout:free                                  
OpenRouter                 | MAI DS R1 (free)                                     |         |        |        |         | mai-ds-r1:free                                      
